~from,~to,rssi,timestamp
WB4,WB1,-35,1736170
WB2,WB1,-17,1794696
WB5,WB2,-23,1665869
WB3,WB2,-51,1760761
WB3,WB1,-47,1682841
WB4,WB2,-61,1657270
WB2,WB1,-17,1775013
WB5,WB2,-23,1600451
WB5,WB1,-28,1729135
WB3,WB1,-53,1783528
WB4,WB1,-34,1763623
WB1,WB2,-19,1598346
WB5,WB2,-23,1792250
WB5,WB1,-29,1597849
WB3,WB2,-50,1699159
WB3,WB1,-51,1555606
WB4,WB1,-45,1623723
WB4,WB2,-59,1673690
WB2,WB1,-16,1630121
WB1,WB2,-18,1565747
WB5,WB1,-28,1643868
WB5,WB2,-23,1672112
WB3,WB1,-52,1762775
WB3,WB2,-51,1638949
WB4,WB1,-36,1744549
WB4,WB2,-57,1513393
WB2,WB1,-26,1640766
WB1,WB2,-17,1513107
WB5,WB2,-23,1712278
WB3,WB2,-49,1659861
WB3,WB1,-54,1757685
WB4,WB1,-45,1532861
WB4,WB2,-49,1547732
WB2,WB1,-17,1736319
WB5,WB1,-29,1740900
WB5,WB2,-24,1620211
WB3,WB1,-49,1773949
WB3,WB2,-50,1704433
WB4,WB1,-33,1686963
WB2,WB1,-17,1586644
WB3,WB2,-48,1760999
WB4,WB1,-33,1500786
WB2,WB1,-17,1539767
WB1,WB2,-19,1609487
WB5,WB2,-23,1572867
WB5,WB1,-29,1565296
WB3,WB1,-49,1692172
WB3,WB2,-52,1539766
WB4,WB1,-34,1728849
WB2,WB1,-16,1786306
WB1,WB2,-19,1746202
WB5,WB1,-28,1791493
WB5,WB2,-22,1534816
WB3,WB1,-50,1783962
WB3,WB2,-53,1718457
WB4,WB2,-57,1731957
WB2,WB1,-16,1756497
WB1,WB2,-18,1525927
WB5,WB1,-28,1671605
WB5,WB2,-23,1615873
WB3,WB1,-49,1745383
WB3,WB2,-53,1657559
WB4,WB1,-35,1702251
WB2,WB1,-17,1697113
WB5,WB2,-24,1579631
WB5,WB1,-28,1636031
WB3,WB2,-48,1512184
WB3,WB1,-49,1798398
WB4,WB2,-54,1679131
WB4,WB1,-34,1682743
WB2,WB1,-17,1655325
WB1,WB2,-18,1748479
WB5,WB2,-23,1700260
WB3,WB1,-49,1507690
WB3,WB2,-52,1671845
WB4,WB2,-55,1716123
WB4,WB1,-35,1589166
WB2,WB1,-15,1571941
WB5,WB1,-28,1685823
WB5,WB2,-23,1782826
WB3,WB1,-49,1781385
WB3,WB2,-49,1525725
WB4,WB1,-35,1567808
WB4,WB2,-54,1545946
WB2,WB1,-15,1755272
WB1,WB2,-19,1748064
WB5,WB1,-28,1587189
WB5,WB2,-23,1629895
WB3,WB2,-50,1613732
WB3,WB1,-51,1549135
WB4,WB1,-35,1598585
WB1,WB2,-18,1737764
WB5,WB1,-28,1535936
WB5,WB2,-25,1754090
WB3,WB2,-56,1582346
WB4,WB1,-36,1609626
WB2,WB1,-17,1764784
WB1,WB2,-19,1641265
WB5,WB2,-23,1612161
WB5,WB1,-27,1556355
WB3,WB1,-50,1693839
WB3,WB2,-52,1515317
WB4,WB1,-34,1532659
WB1,WB2,-18,1711962
WB5,WB2,-23,1722121
WB3,WB2,-57,1590273
WB4,WB1,-34,1607902
WB4,WB2,-49,1585070
WB1,WB2,-18,1631443
WB5,WB2,-23,1640187
WB5,WB1,-28,1739143
WB3,WB1,-53,1502948
WB4,WB2,-56,1740012
WB4,WB1,-34,1567316
WB2,WB1,-17,1652937
WB1,WB2,-18,1768175
WB5,WB2,-23,1606743
WB3,WB1,-53,1791301
WB3,WB2,-59,1644354
WB4,WB1,-34,1575120
WB4,WB2,-48,1735558
WB2,WB1,-17,1539994
WB1,WB2,-19,1757472
WB3,WB1,-48,1632862
WB4,WB1,-35,1769166
WB5,WB1,-28,1575224
WB5,WB2,-23,1555222
WB3,WB2,-56,1695908
WB2,WB1,-16,1714817
WB1,WB2,-19,1597370
WB5,WB1,-28,1722678
WB5,WB2,-25,1731483
WB3,WB1,-51,1769598
WB4,WB1,-34,1794936
WB4,WB2,-55,1675014
WB2,WB1,-15,1712807
WB1,WB2,-19,1595650
WB5,WB2,-22,1626390
WB5,WB1,-28,1758820
WB3,WB2,-52,1575005
WB3,WB1,-52,1760400
WB4,WB2,-54,1568041
WB2,WB1,-16,1646367
WB1,WB2,-18,1673620
WB5,WB2,-24,1629155
WB3,WB1,-48,1651979
WB3,WB2,-53,1656527
WB4,WB1,-35,1734253
WB2,WB1,-17,1703559
WB5,WB2,-23,1696299
WB3,WB1,-48,1758116
WB4,WB1,-46,1554738
WB4,WB2,-60,1501420
WB2,WB1,-15,1712548
WB5,WB2,-23,1510833
WB3,WB2,-53,1506193
WB3,WB1,-47,1605609
WB4,WB2,-55,1755029
WB1,WB2,-18,1586451
WB5,WB2,-23,1742228
WB5,WB1,-28,1758408
WB3,WB2,-49,1553009
WB3,WB1,-49,1736955
WB4,WB1,-35,1681673
WB4,WB2,-58,1713781
WB1,WB2,-18,1563022
WB5,WB2,-25,1518171
WB5,WB1,-28,1788394
WB4,WB2,-57,1732845
WB1,WB2,-19,1616012
WB5,WB1,-28,1761991
WB5,WB2,-23,1713875
WB3,WB2,-49,1756604
WB3,WB1,-49,1635719
WB4,WB1,-34,1749928
WB2,WB1,-17,1683576
WB1,WB2,-18,1653037
WB5,WB2,-23,1798069
WB5,WB1,-29,1573881
WB3,WB2,-48,1778269
WB3,WB1,-48,1701542
WB4,WB2,-54,1690349
WB4,WB1,-34,1528156
WB2,WB1,-26,1530726
WB1,WB2,-18,1713138
WB5,WB2,-23,1591241
WB5,WB1,-29,1620900
WB3,WB1,-48,1702165
WB3,WB2,-50,1507668
WB4,WB2,-55,1579836
WB4,WB1,-34,1687606
WB2,WB1,-27,1606137
WB1,WB2,-19,1581319
WB5,WB1,-28,1771134
WB5,WB2,-24,1536135
WB3,WB1,-48,1731870
WB4,WB2,-57,1572864
WB4,WB1,-33,1743601
WB2,WB1,-15,1540987
WB3,WB1,-47,1773900
WB4,WB1,-35,1566099
WB2,WB1,-16,1522175
WB1,WB2,-19,1743137
WB5,WB2,-23,1547814
WB5,WB1,-29,1549499
WB3,WB1,-49,1777304
WB3,WB2,-52,1633442
WB2,WB1,-15,1752798
WB1,WB2,-19,1732207
WB5,WB2,-23,1563664
WB5,WB1,-28,1626325
WB3,WB2,-52,1713008
WB4,WB1,-33,1749799
WB2,WB1,-16,1729448
WB1,WB2,-18,1678587
WB5,WB2,-23,1557701
WB5,WB1,-29,1755173
WB4,WB2,-61,1545532
WB2,WB1,-26,1796758
WB1,WB2,-19,1640190
WB5,WB2,-25,1610650
WB3,WB2,-51,1732026
WB3,WB1,-48,1752304
WB4,WB1,-34,1682457
WB2,WB1,-15,1596597
WB5,WB2,-23,1595697
WB5,WB1,-29,1559286
WB3,WB2,-49,1530233
WB4,WB2,-59,1751000
WB4,WB1,-46,1797674
WB2,WB1,-17,1621928
WB1,WB2,-17,1632269
WB5,WB2,-23,1694775
WB3,WB1,-49,1735205
WB4,WB2,-58,1529251
WB2,WB1,-16,1789458
WB5,WB1,-28,1577893
WB5,WB2,-24,1593024
WB1,WB2,-19,1679877
WB3,WB1,-53,1535568
WB3,WB2,-62,1730495
WB4,WB1,-45,1686768
WB2,WB1,-15,1658378
WB1,WB2,-19,1514245
WB5,WB2,-23,1615122
WB5,WB1,-28,1621978
WB4,WB1,-35,1747127
WB2,WB1,-17,1715692
WB5,WB2,-23,1536987
WB5,WB1,-28,1693507
WB3,WB2,-54,1686991
WB4,WB1,-42,1644347
WB2,WB1,-16,1519223
WB5,WB1,-29,1758148
WB5,WB2,-23,1618291
WB3,WB2,-53,1691878
WB3,WB1,-53,1569513
WB4,WB1,-35,1559126
WB1,WB2,-19,1710432
WB5,WB2,-23,1584637
WB5,WB1,-28,1780812
WB3,WB2,-53,1771933
WB3,WB1,-53,1604595
WB4,WB1,-36,1575552
WB4,WB2,-63,1725776
WB2,WB1,-16,1531392
WB1,WB2,-18,1540153
WB5,WB1,-29,1741380
WB5,WB2,-25,1622568
WB3,WB1,-52,1653705
WB3,WB2,-60,1781661
WB2,WB1,-26,1583274
WB1,WB2,-18,1718132
WB5,WB2,-25,1619505
WB5,WB1,-28,1703606
WB3,WB1,-48,1701003
WB2,WB1,-15,1771246
WB1,WB2,-18,1781904
WB5,WB2,-23,1590955
WB5,WB1,-29,1667738
WB3,WB1,-48,1747840
WB3,WB2,-52,1687146
WB4,WB2,-55,1789076
WB4,WB1,-35,1581096
WB2,WB1,-17,1603343
WB1,WB2,-19,1616293
WB5,WB1,-28,1648639
WB5,WB2,-23,1786114
WB3,WB2,-52,1567996
WB4,WB2,-62,1622193
WB4,WB1,-42,1680886
WB2,WB1,-16,1753635
WB1,WB2,-19,1562644
WB5,WB2,-23,1576164
WB3,WB1,-52,1569054
WB3,WB2,-61,1682662
WB4,WB1,-43,1687947
WB2,WB1,-27,1608853
WB1,WB2,-19,1517611
WB5,WB1,-28,1696657
WB5,WB2,-25,1548775
WB3,WB2,-58,1792338
WB3,WB1,-50,1555675
WB4,WB1,-35,1712209
