source,destination,rssi,timestamp
WB1,WB2,-19,616788
WB5,WB1,-29,664934
WB5,WB2,-25,664934
WB3,WB1,-48,761990
WB3,WB2,-54,761990
WB4,WB1,-54,777095
WB2,WB1,-22,665245
WB1,WB2,-24,624799
WB5,WB1,-31,672946
WB5,WB2,-23,672946
WB3,WB2,-54,770003
WB4,WB2,-60,785107
WB4,WB1,-59,785107
WB2,WB1,-29,673257
WB5,WB2,-22,680958
WB5,WB1,-28,680958
WB3,WB2,-57,778014
WB3,WB1,-55,778014
WB1,WB2,-18,640819
WB2,WB1,-17,681269
WB5,WB2,-24,688969
WB5,WB1,-29,688969
WB3,WB1,-57,786026
WB4,WB1,-35,801128
WB4,WB2,-58,801128
WB2,WB1,-16,689280
WB1,WB2,-19,648831
WB5,WB1,-28,696982
WB5,WB2,-25,696982
WB3,WB2,-54,794038
WB3,WB1,-55,794038
WB4,WB1,-34,809139
WB2,WB1,-27,697290
WB1,WB2,-17,656839
WB5,WB2,-23,704993
WB5,WB1,-28,704993
WB3,WB2,-55,802050
WB3,WB1,-55,802050
WB4,WB1,-36,817150
WB4,WB2,-59,817150
WB2,WB1,-16,705299
WB5,WB2,-23,713004
WB5,WB1,-29,713004
WB3,WB2,-47,810061
WB4,WB2,-59,825162
WB2,WB1,-17,713311
WB1,WB2,-19,672857
WB5,WB2,-23,721016
WB5,WB1,-28,721016
WB3,WB2,-46,818072
WB4,WB1,-35,833172
WB4,WB2,-61,833172
WB1,WB2,-18,680868
WB5,WB1,-28,729028
WB5,WB2,-24,729028
WB3,WB1,-49,826083
WB4,WB2,-54,841183
WB1,WB2,-18,688876
WB5,WB2,-23,737038
WB5,WB1,-28,737038
WB3,WB1,-46,834095
WB3,WB2,-46,834095
WB4,WB1,-36,849194
WB4,WB2,-48,849194
WB2,WB1,-16,737342
WB1,WB2,-18,696886
WB5,WB2,-23,745051
WB5,WB1,-29,745051
WB3,WB1,-47,842106
WB4,WB1,-36,857207
WB4,WB2,-58,857207
WB2,WB1,-17,745351
WB1,WB2,-18,704895
WB5,WB2,-23,753061
WB5,WB1,-29,753061
WB3,WB1,-49,850117
WB4,WB2,-59,865219
WB2,WB1,-17,753360
WB1,WB2,-18,712905
WB5,WB2,-23,761073
WB5,WB1,-28,761073
WB4,WB2,-49,873229
WB2,WB1,-17,761370
WB1,WB2,-18,720915
WB5,WB1,-28,769084
WB5,WB2,-24,769084
WB3,WB1,-49,866139
WB3,WB2,-51,866139
WB4,WB2,-53,881241
WB4,WB1,-34,881241
WB2,WB1,-17,769380
WB1,WB2,-18,728926
WB5,WB2,-22,777097
WB5,WB1,-28,777097
WB4,WB1,-35,889253
WB2,WB1,-16,777390
WB1,WB2,-19,736936
WB5,WB1,-28,785107
WB5,WB2,-23,785107
WB4,WB1,-34,897265
WB2,WB1,-17,785402
WB5,WB1,-28,793118
WB3,WB2,-58,890169
WB3,WB1,-53,890169
WB4,WB2,-48,905275
WB2,WB1,-16,793411
WB3,WB2,-53,898181
WB3,WB1,-51,898181
WB4,WB1,-34,913285
WB2,WB1,-16,801418
WB1,WB2,-18,760965
WB5,WB1,-28,809137
WB5,WB2,-23,809137
